source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,radius_sun,mass_sun,mh_gspphot,logg_gspphot,sep_arcsec,is_target
5245962772917831680,147.37474018614094,-66.14656435059112,5.554375712284662,8.99629020690918,6582.3154,179.7482,1.962,1.4713333,-0.42289999127388,3.958400011062622,321.36534269315024,False
5245969060750706816,147.54449359348456,-66.08689505524644,5.322163395090009,9.985884666442871,6297.4507,187.5719,1.3642,1.2055354,-0.359499990940094,4.174699783325195,110.02736237295892,False
5245965624776479360,147.79653572850836,-66.08900029678168,0.8659092379919147,11.104459762573242,4622.0,,10.542838,,,,328.23278100241816,False
5245968957670879616,147.7051379209354,-66.03684797424769,0.6511052943498588,11.147455215454102,5743.2114,1821.5669,13.7429,2.9981835,0.00989999994635582,2.613300085067749,332.02282613048317,False
5245963322673681792,147.44415556070206,-66.1009318595428,2.2948309070887962,11.244951248168945,6130.7183,437.8376,2.1367,1.4114575,-0.4805000126361847,3.952899932861328,203.47295959849623,False
5245971225413630848,147.6903653491192,-65.99903785507303,0.874373379071718,11.446619987487793,4819.0,,10.072811,,,,443.6956684299162,False
5245962910356796288,147.40054204983065,-66.133425374731,,11.553336143493652,,,,,,,270.8220815354666,False
5245962184496043136,147.53342876998548,-66.1622833679073,0.6174153350160572,11.714405059814453,5346.5703,1656.5095,10.7295,2.8008645,0.07109999656677246,2.792099952697754,187.053209661714,False
5245968231809993600,147.60225208735088,-66.11632667109126,0.6160921503064193,11.884875297546387,4387.0,,16.149359,,,,33.62334903415024,False
5245975039344453504,147.39626070637723,-66.10185164184097,1.0668762091264705,11.989184379577637,4839.0,,5.5200453,1.3854002,,,271.3737818792552,False
5245981632107951872,147.5200747965018,-66.01390323499322,0.46021842110518346,12.102684020996094,4424.3403,2313.2751,20.7621,3.3022518,0.00930000003427267,2.0429999828338623,370.3390806835631,False
5245969988463024512,147.62638899162005,-66.00541605485552,1.0344044968180945,12.357453346252441,,,,,,,396.23698192286787,False
5245969095110447872,147.57186775127494,-66.08098340449759,0.618003509820316,12.408700942993164,4566.0,,10.262578,1.5120279,,,118.95114657149769,False
5245968541047636736,147.7257973635155,-66.08424415712776,2.3126763223896303,12.465744018554688,6044.467,429.1649,1.2095,1.088234,-0.8208000063896179,4.276599884033203,237.88079889055936,False
5245970435139637376,147.7026209130911,-66.0196080048944,1.0627611909051984,12.669418334960938,6181.0513,909.0767,2.3348,1.5090259,-0.6725999712944031,3.886399984359741,383.66326840215754,False
5245968992030538752,147.57076461880922,-66.10829263296111,2.5860017585586332,12.743338584899902,5703.8193,257.6153,0.7696,0.9488106,-0.7056999802589417,4.524899959564209,24.149694813897437,False
5245974519642116480,147.36252356247923,-66.1422230544156,0.2764701531417755,12.784808158874512,4686.178,2711.5583,13.9546,3.7015347,-0.10999999940395355,2.376499891281128,332.89206352861197,False
