source_id,right_ascension,declination,parallax,gaia_magnitude,effective_temperature,distance,radius,mass,metallicity,surface_gravity,sep_arcsec
6003811882600502912,227.36363464378192,-42.614985435699545,1.0818371095058268,9.53707504272461,5031.808,964.3842,18.5775,3.5006354,-0.18690000474452972,2.3661000728607178,407.20081514653623
6003718698992369664,227.1221521506921,-42.74231374212072,0.5023151033304079,11.032007217407227,4302.0,,28.502234,,,,414.48306180038844
6003810989247284352,227.40492441520362,-42.65845501878969,3.273294203376146,11.13963794708252,6720.261,288.0103,1.185,1.3366609,-0.3601999878883362,4.35260009765625,393.41317437927154
6003719175720592768,227.17552698787102,-42.714891634827254,1.7066765570448208,11.179265022277832,6532.0,,,,,,253.47935265004173
6003811775223573632,227.3657274078592,-42.653410055045754,0.4742791198770854,11.516725540161133,4654.238,1352.1803,12.475,3.3016145,0.17720000445842743,2.526700019836426,313.17863853349417
6003810611290002688,227.30937254533848,-42.64179459754578,0.36643686731889985,11.657869338989258,4070.0,,33.96573,,,,249.64988335089643
6003809821005046784,227.30733903053863,-42.69673789742115,1.6153417637660739,11.679015159606934,4719.3843,659.776,4.5189,1.020624,-0.011699999682605267,3.1036999225616455,102.12075629059285
6003715808466233216,227.25918610766124,-42.7488622804317,0.6329303265425881,11.899921417236328,4451.0,,10.586838,1.2616285,,,160.86650651757458
6003814214759689856,227.20303739852105,-42.5948356242735,0.5547251207938311,11.96530532836914,4703.857,2207.4065,14.4147,3.0026834,-0.10750000178813934,2.3394999504089355,434.6509632960351
6003796794372341632,227.37797845954213,-42.79840053750772,0.600257192953699,11.984707832336426,4716.895,1706.9279,11.4242,2.9025536,0.17020000517368317,2.61080002784729,440.55673916706553
6003815142472625664,227.31691742495283,-42.58850292371233,1.5225829724528972,12.106049537658691,4849.0,,3.1647916,1.0708969,,,436.91015601804344
6003813355766232320,227.22329445716235,-42.641418430433596,0.6641568273143014,12.172760963439941,4671.3477,1740.6423,9.9536,2.7030642,-0.42089998722076416,2.4403998851776123,260.44943445883973
6003813080888326144,227.24424659525036,-42.6622685917857,0.22675017966791167,12.219827651977539,4530.007,9710.344,81.7148,4.8004165,-0.2915000021457672,1.3550000190734863,168.48187632583264
6003812977809111168,227.22690636418804,-42.67373578239091,1.8581964151235166,12.245742797851562,6421.183,517.4753,1.3436,1.2462096,-0.15539999306201935,4.239200115203857,160.808982794066
6003715671027280128,227.24619599351354,-42.77345932549439,0.17767873488206506,12.26302433013916,4378.898,3804.1648,34.334,4.298517,-0.6601999998092651,1.1230000257492065,254.8234237310152
6003718355394956672,227.15636691487578,-42.77924506689406,0.2390179422132345,12.346744537353516,4250.0,,52.498684,4.0137014,,,403.02875227031257
6003813428788552960,227.2762638478533,-42.640632211217856,0.5172604402604689,12.423011779785156,4485.8696,2449.8967,15.7848,1.3712001,0.23499999940395355,2.314300060272217,232.0350391879718
6003814390861245440,227.18601883012047,-42.60273428892838,1.2210465289381676,12.440423011779785,7232.9014,815.0528,1.5912,1.5164418,-0.539900004863739,4.138400077819824,430.4466266004793
6003715572256122368,227.23870355504405,-42.789193066257035,1.886080618524856,12.546144485473633,6215.1694,520.7877,1.239,1.162508,-0.39079999923706055,4.23330020904541,314.66032888049
6003718385446611712,227.14520090693554,-42.78409978985881,7.381975218984946,12.69670295715332,4154.0,,,,,,436.74929081710115
6003716018932768128,227.24708456898935,-42.723781414267044,0.34486051802531814,12.76844310760498,4769.64,3063.304,12.6833,3.0018666,-0.4009000062942505,2.1607000827789307,91.65043318674685
6003719622397191168,227.11359449751654,-42.709051088063156,1.862080288619008,12.908745765686035,6165.3403,548.2208,1.136,1.0366681,-0.3783999979496002,4.336699962615967,415.0469828764701
6003715533588326528,227.1921275366345,-42.77150802793179,1.303397357911834,12.917970657348633,5816.8423,749.1688,1.732,1.1151066,-0.4235999882221222,4.098100185394287,316.6170814720433
6003808515345926656,227.339062593098,-42.777162678529706,1.4622113440511013,12.92029857635498,6005.454,659.1204,1.5284,1.1238354,0.20020000636577606,4.157899856567383,317.12042833763786
6003808614122339968,227.35982024455447,-42.77118309052507,0.4444800887731702,12.94721508026123,4756.2295,1850.8499,8.2193,2.8026242,0.12880000472068787,2.8232998847961426,335.83077581067073
6003808480986184064,227.33391398145267,-42.80030052101799,0.34616172336615486,12.961967468261719,4737.0166,2499.7058,9.6668,2.8020031,-0.243599995970726,2.5692999362945557,382.16298996502286
6003719381879022208,227.1869798829274,-42.667338974642995,0.7668579742459084,13.059934616088867,5723.8726,1607.7931,3.4659,1.4129833,-0.2159000039100647,3.541100025177002,258.92838144131485
6003809129518414848,227.37517301312442,-42.715192319829825,1.1588889362733261,13.089692115783691,5610.918,790.2863,1.8761,1.1444172,-0.36489999294281006,4.065800189971924,279.62710999073784
6003720245180620544,227.1206370142393,-42.66559244008802,0.2212191275276915,13.109819412231445,4250.0,,,,,,420.8487009129188
6003715572256113792,227.23281048401546,-42.7982433543085,0.3311584951620047,13.1434965133667,5000.0,,,,,,350.2684841108984
6003719832863752576,227.10172675667306,-42.70549661953774,1.092702884096821,13.27966022491455,6002.5073,846.6685,1.5557,1.1305004,-0.2232999950647354,4.055099964141846,446.1953103126819
