source_id,right_ascension,declination,parallax,gaia_magnitude,effective_temperature,distance,radius,mass,metallicity,surface_gravity,sep_arcsec
1744913000389040896,317.534192134283,10.797408187228308,1.4783609352930414,10.011039733886719,4515.0,,10.8773365,1.3708415,,,219.48111200780826
1744913069106649088,317.5183297389117,10.799805767285717,0.9816917346717017,10.537912368774414,4900.7637,955.2978,10.3849,2.7029083,-0.10859999805688858,2.6328001022338867,248.83559042812865
1744901764753511680,317.6101366686881,10.67115106728659,4.349864102671235,10.745821952819824,5970.6514,225.5093,1.3296,1.1100271,-0.27709999680519104,4.157800197601318,319.9817247397525
1744901146278224512,317.51783283318014,10.626021040562218,20.577789250476044,11.812411308288574,3628.0,,0.6755589,0.59176666,,,423.42261154399154
1744913167891204352,317.5019416408493,10.806081721026073,1.4760295990467645,11.85573673248291,6250.0,,,,,,298.8628772545467
1744902138414251264,317.4861344817286,10.649258691860993,0.15741502805904972,11.9053316116333,4421.0,,57.75119,4.900201,,,397.0304900754585
1744913618863403136,317.56003623549003,10.837636056360607,0.49472130073249954,11.933164596557617,4384.0,,17.111532,,,,356.80426515210513
1744909113441127168,317.6329076711628,10.760017676303647,1.2895436643254794,12.053186416625977,6575.0,,1.9932989,1.4846474,,,297.64024665648475
1744908224384464768,317.66485538818097,10.730532976753961,5.212069979737313,12.324485778808594,4764.77,191.4294,0.9637,,-0.10109999775886536,4.427299976348877,401.88029409147305
1744913790662094848,317.52155312446166,10.852094503653786,0.269738804532869,12.73048210144043,4294.0,,23.61034,,,,421.1693471981501
1744912515056174592,317.59889766746187,10.812166342257436,0.3705511337738835,12.902353286743164,5078.3076,2853.0015,10.6793,3.0029938,-0.1168999969959259,2.750499963760376,312.4950377337605
1744912652495128448,317.56554482626916,10.80895661210901,1.2506238322834002,12.945106506347656,6292.951,774.85,1.5476,1.2690499,-0.21170000731945038,4.152900218963623,257.102245988752
1744905299510178432,317.4792018416628,10.679217538096948,1.8623810115554418,13.006330490112305,5449.83,503.1413,1.2987,,-0.1793999969959259,4.276400089263916,334.0965309960284
1744919047701929984,317.44117123193257,10.790255899663673,1.6875691528070755,13.634908676147461,5570.91,622.3436,1.1411,0.89892817,-0.4715999960899353,4.329999923706055,431.98113764000226
1744906914417870848,317.45888844277096,10.765589957821303,0.44181712802575124,13.642080307006836,7658.893,2880.179,2.8952,1.8011327,0.335099995136261,3.8399999141693115,341.54959237588645
1744902108350900224,317.5285844183056,10.658198952669263,0.5761359471948744,13.791999816894531,4858.1187,1638.6821,4.1613,1.1715676,-0.07450000196695328,3.233099937438965,301.58245236901985
1744905887922126080,317.5378893451352,10.731165064360908,0.37174362427150076,13.82931137084961,5167.0,735.1798,1.811,0.9570898,-0.1396999955177307,4.092700004577637,55.726032569227506
1744912240178271104,317.53757610984604,10.788062590781447,1.6514043634871927,13.910828590393066,5763.9634,543.9312,0.8815,0.9606546,-0.5008000135421753,4.4355998039245605,183.8443245166582
1744719692500103424,317.64144576429175,10.655837817760844,0.9162025025217925,13.95233154296875,5566.6025,1018.1813,1.653,1.033057,-0.008999999612569809,3.9999001026153564,436.44313622335306
1744902073991162880,317.51315740894336,10.655066105434848,0.20786918299405327,14.107620239257812,4250.0,,,,,,330.8713147020244
1744906953074020480,317.4874476662985,10.758642904069172,0.248417353220561,14.346785545349121,4834.8755,3566.8528,6.6408,1.751885,-0.5708000063896179,2.7242000102996826,237.63041143882842
1744914306058174720,317.59737978871124,10.848139165588446,0.6686811306649,14.363781929016113,5639.6562,1289.7076,1.563,1.0572002,-0.28610000014305115,4.1691999435424805,425.42931092692993
1744912003955688320,317.5712596042187,10.777469238757647,0.8521685150655413,14.376595497131348,6367.0273,892.5814,0.9242,1.2243967,-0.5613999962806702,4.498199939727783,155.44376126859234
1744908911579230848,317.6084544711819,10.746527431825786,0.5489123673254065,14.41771125793457,5987.398,1333.446,1.5535,1.2269146,-0.3319000005722046,4.040299892425537,203.13805470083756
1744902623746974848,317.55925173229474,10.687462942536829,0.5998068192281708,14.455182075500488,6290.2847,1737.2095,1.8064,1.2916156,-0.6238999962806702,3.930000066757202,187.07646810780363
1744902383228812160,317.5030452655432,10.680239513973097,0.7652786450573363,14.511940002441406,5714.9897,2540.4773,2.9473,1.0077398,-0.7263000011444092,3.571199893951416,272.02487084215
