source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,radius_sun,mass_sun,mh_gspphot,logg_gspphot,sep_arcsec,is_target
3438063080691481728,92.57854407756498,30.99463388450146,1.3322511253163472,9.805886268615723,4817.4897,759.8899,22.1134,3.9006968,0.05180000141263008,2.284600019454956,296.12406104660874,False
3438063011972005120,92.5428489471091,30.98919781281573,3.2129475066136877,10.008915901184082,6734.2026,314.9799,2.1459,1.5544966,0.00039999998989515007,3.956399917602539,391.17290000496325,False
3438060473649254656,92.63287849462105,30.999301068791056,0.9848870658275309,11.079780578613281,4863.6772,896.3772,11.0699,2.8026335,-0.11029999703168869,2.5590999126434326,179.51264547545526,False
3438059442854472832,92.66366769908875,30.95771915292293,7.2949881759741135,11.986522674560547,4000.0,,,,,,2.237698281343374,False
3438046450578114816,92.68669008350962,30.8382973729467,0.9265045149252082,12.025341987609863,7750.0,,,,,,433.5770344254607,False
3438046622376806016,92.69628199822347,30.86245898656747,0.7147932542854837,12.1785249710083,9359.203,1151.1722,2.4235,2.473604,-0.13230000436306,4.008500099182129,355.1988045395556,False
3438036353112932480,92.5263855757131,30.921429679352812,0.6449389867691576,12.393352508544922,4884.2295,1625.3746,9.7248,2.802201,0.02160000056028366,2.7223000526428223,443.76360706013674,False
3438062260355643008,92.69233958783146,31.060296810877457,2.552351918354954,12.841672897338867,5222.573,376.7338,1.1234,,-0.8169000148773193,4.309299945831299,381.5546431001254,False
3438023292114454528,92.6339397163293,30.85580200339655,0.5202944627131831,13.203890800476074,5564.6807,1721.6637,9.3305,2.7842956,-0.023000000044703484,2.86680006980896,376.40970792329796,False
3438046695394337664,92.65304088956724,30.85309915722211,1.5434251889721549,13.239388465881348,6156.087,623.0601,1.2986,1.1577426,-0.3456999957561493,4.253600120544434,376.06599713930063,False
3438036146954500352,92.57957520548352,30.910796005674538,2.075749938187586,13.34603214263916,5474.5806,472.661,0.9956,0.8704889,-0.8011999726295471,4.386499881744385,309.35907597659417,False
3438049512892838144,92.7778627483234,30.991784789855167,0.5359369699539404,13.404975891113281,6028.0537,1656.525,8.6002,2.756443,-0.11169999837875366,2.941200017929077,373.1015525283228,False
3438060336210299008,92.66643840487974,30.998984837680457,0.41786335366259164,13.473374366760254,4960.4585,1727.9548,9.8624,2.5052414,-0.05570000037550926,2.7302000522613525,150.82947969317016,False
3438060645447945600,92.63005450859347,31.01234120077924,1.7816741891745629,13.877548217773438,5261.5874,543.7311,1.0181,,-0.725600004196167,4.372000217437744,224.5524970687252,False
3438059923893448448,92.58015003534759,30.945994915123993,0.32459996120325213,13.901618957519531,5229.591,3385.775,18.6842,3.196271,-0.039400000125169754,2.4453001022338867,261.78061078844706,False
3438035287961207424,92.58886921811823,30.88244381285676,2.936691948983662,13.934861183166504,5005.7026,328.284,0.6964,,-0.3021000027656555,4.594399929046631,355.05945883863956,False
3438062913190686976,92.55393279315052,30.96007878061829,0.42412089085302507,13.989213943481445,7677.7275,1986.6177,4.986,2.7055638,-0.13600000739097595,3.412100076675415,339.76787111861705,False
3438046450579100416,92.68603010132513,30.843141383868026,0.9577736777622162,14.012826919555664,6751.6895,1011.9252,1.4746,1.3667375,-0.09359999746084213,4.227700233459473,416.03926108261214,False
3438035047443036800,92.62102247290538,30.863559619492737,1.503032468813356,14.026598930358887,5362.9526,565.6577,1.0186,0.930538,-0.8209999799728394,4.367599964141846,362.0381429167853,False
3438046454876162688,92.69115230493162,30.844240895005058,1.3692159797385968,14.092309951782227,5852.059,686.3347,1.2616,1.0189092,-0.3686999976634979,4.166500091552734,415.04838634686314,False
3438060817246769408,92.72331911521458,30.985624307300096,0.21127636131364755,14.152508735656738,5722.8765,2176.945,7.7669,3.4692564,0.016699999570846558,3.046600103378296,210.02144986021364,False
3438035249304479616,92.57228001295154,30.87528633918395,2.0427564617114307,14.18134593963623,5119.759,477.9207,0.8435,0.8129111,-0.461899995803833,4.485599994659424,408.6280640353885,False
3438023292115468544,92.64399105814266,30.853023875119987,0.9952620527658456,14.326203346252441,6573.01,932.5999,1.2849,1.296475,-0.3449999988079071,4.264599800109863,379.85796926187425,False
3438059236699177216,92.7089351038513,30.956241000013765,-1.3363868379604562,14.354187965393066,4750.0,,,,,,138.95124751767054,False
3438063669104922112,92.60035549402134,31.03747689514146,1.7624718790313694,14.375764846801758,5141.4805,565.9285,0.9095,0.8414643,-0.3312000036239624,4.452099800109863,349.4812323858153,False
