source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,radius_sun,mass_sun,mh_gspphot,logg_gspphot,sep_arcsec,is_target
470645784773774720,65.38795619612974,57.745126230286296,1.0933129866709879,8.696088790893555,,,,,,,303.0915109802,False
470649667424212224,65.25303780990896,57.792990026382114,4.266872367728486,8.820032119750977,4702.0,,6.6692905,1.3629887,,,424.42937246741695,False
470651179252605696,65.51346401458174,57.86062272547391,4.90221517892989,10.688984870910645,6017.579,202.8796,1.1811,1.0763798,-0.3262999951839447,4.31279993057251,177.51174282531338,False
470649663124639488,65.2556984345197,57.79339912143712,4.278815766605365,11.120479583740234,5761.031,227.7625,1.3096,0.9946606,-0.24469999969005585,4.146200180053711,419.1303469340529,False
470651866449326592,65.42370021500078,57.88494911395309,5.9356419505446585,11.414484024047852,5462.0,,,,,,259.29326384173055,False
470648774071137792,65.34123198872214,57.7536322589956,0.9752719784755584,11.674654006958008,8498.364,1242.3181,5.3522,2.673485,0.049800001084804535,3.428999900817871,336.2281257987178,False
470651449827669248,65.3984815701825,57.833594435029234,0.6960517622680117,12.437480926513672,5286.0,,11.835915,,,,148.57929475199884,False
470647227882732672,65.54234749919583,57.77812949516509,0.32901014490893715,12.676112174987793,4610.0317,2850.4167,31.0401,3.7092736,0.11259999871253967,2.0332999229431152,198.11939483136612,False
470647399681448960,65.44430969006108,57.77222931951477,0.7882824472574619,12.706960678100586,4574.0,,11.823316,,,,168.98217335061435,False
470646776903253504,65.59317602381724,57.77622478234805,0.31366728421803386,12.741354942321777,4630.516,3777.6846,40.2664,3.497385,0.093299999833107,1.8508000373840332,279.20636229652115,False
470652175685226112,65.56402944326464,57.92678392060382,1.0366241199123536,12.746213912963867,7658.3003,849.1313,2.0172,2.1861658,-3.7809998989105225,3.859499931335449,433.97909499785186,False
470634892738577280,65.65531811100902,57.76095548096979,0.6740780111741507,12.776142120361328,9797.9375,1146.6555,2.4987,2.7258284,0.01489999983459711,4.025300025939941,409.86397994217066,False
470650698216314368,65.40266051525298,57.82208978094712,0.5766929900537825,12.944250106811523,5102.0,,12.876713,,,,129.55595948379113,False
470645853493236864,65.43021145225303,57.75351159296975,1.1112544993493467,12.982177734375,,,,,,,241.3908790350044,False
470646368889293952,65.5347617316294,57.746146447955425,0.33254275899723135,13.042986869812012,4820.0796,2763.251,20.7345,3.7008007,0.10289999842643738,2.3287999629974365,284.7003680505213,False
470697152583791872,65.2691446599805,57.856493380882725,0.5941065170740912,13.206067085266113,,,,,,,409.3847810054449,False
470652141325246720,65.54209048914313,57.91433550850426,0.4977675622517972,13.241084098815918,5005.447,2056.6592,11.8159,3.002043,-0.125900000333786,2.6370999813079834,376.2567195035887,False
470646471968494848,65.55868381971526,57.76306148274538,0.25380362108462834,13.248903274536133,4633.2725,3821.364,32.0457,3.8047194,0.19679999351501465,2.032399892807007,259.2144555474458,False
470648842790476288,65.3854576030158,57.767051297195295,3.015822079351491,13.282691955566406,5572.5894,323.7735,0.9583,0.9302778,-0.08619999885559082,4.400599956512451,242.17798071798504,False
470647605839836928,65.57452346443308,57.800964733733124,1.449916811095617,13.311761856079102,5000.0,,,,,,209.53100808918944,False
470651969526576768,65.44819970790743,57.90504184550017,0.129012810102614,13.359942436218262,4781.1045,9305.838,93.6135,4.6895814,-0.07989999651908875,1.298799991607666,318.9066355362162,False
470646162730862848,65.557323121487,57.74021158762883,0.4506504047751749,13.380903244018555,4701.0,,11.564136,,,,324.2690553974346,False
470647846357966848,65.63607152128806,57.84620433799122,1.9013397340058529,13.44422435760498,5952.605,515.8254,1.2031,1.0546718,-0.2957000136375427,4.228499889373779,335.72456649000986,False
470647262242484352,65.50351322865697,57.77048525436807,0.32345334582503793,13.45533275604248,4236.0,,27.928478,,,,180.29128037541597,False
470649048948910336,65.31939922401477,57.78690133327118,0.3221936569979537,13.584187507629395,4250.0,,,,,,308.07255376595367,False
470651213612331136,65.53888792267159,57.873890860737255,0.3528479496450156,13.62126350402832,4250.0,,,,,,243.4854443436092,False
470649495625519488,65.26791431339309,57.78910878840785,1.0572004906759682,13.644675254821777,15012.322,858.8853,1.3838,,-0.9621000289916992,4.593800067901611,399.8683836219525,False
470652828520038144,65.66994279410622,57.818323842619215,1.3614876609469284,13.68243408203125,6352.4683,702.5717,1.6447,1.3191015,-0.6118999719619751,4.0071001052856445,384.1543235746932,False
470699042369382016,65.37544457221101,57.92076966930524,0.3066557031379026,13.699687957763672,4250.0,,,,,,414.1775740000816,False
470647056084076544,65.46538202787818,57.7447603565829,0.4905977850516977,13.756265640258789,4250.0,,,,,,260.87786309823593,False
470651935166849920,65.41920386202918,57.896183527842844,2.1960015394410126,13.886944770812988,5561.941,434.0134,1.0049,0.8994543,-0.048500001430511475,4.367300033569336,300.30909916185766,False
470697393102000896,65.27888837392976,57.88200065850023,1.1796328211231675,13.967692375183105,4750.0,,,,,,433.497165109043,False
470652622361611776,65.6791414570915,57.80703996265525,2.0925317558728858,14.037985801696777,4500.0,,,,,,403.4915681877333,False
470649014589167104,65.3480341960361,57.78299767231817,1.5274133642387957,14.080096244812012,5884.145,581.3008,1.0946,1.0348974,-0.4162999987602234,4.276800155639648,263.7061844826882,False
470651660288948480,65.43701512667745,57.879800498367594,0.454786722965343,14.215031623840332,5928.9146,2564.0217,6.4141,2.074453,-0.26989999413490295,3.1236000061035156,233.87925607178533,False
470647777638500224,65.64194593459472,57.82362700180771,1.4726087538693273,14.237175941467285,5925.6772,614.0179,1.0279,1.0379969,-0.4855000078678131,4.322800159454346,331.2381866940148,False
470648670991808896,65.28625587613111,57.763165200775276,0.5259519290802008,14.306702613830566,,,,,,,402.0027508734541,False
470652072605793152,65.48394036047736,57.89007188872401,0.18389664206673512,14.318659782409668,5520.306,4960.976,14.9602,3.4740584,-0.19259999692440033,2.5634000301361084,263.80285058873784,False
470650698216306432,65.4124367992905,57.83044833883269,0.3142286881003431,14.322542190551758,4883.9453,2374.955,9.7091,2.6030467,0.09939999878406525,2.7451999187469482,119.53393438731443,False
470647227882733440,65.53478573266872,57.78025412173786,0.3308563712392119,14.339190483093262,4500.0,,,,,,182.5349737633948,False
470634922793517184,65.67784504654713,57.767460120555675,1.0778471686259419,14.449448585510254,,,,,,,437.8421751047796,False
470650732576033024,65.43721604223431,57.84299101163501,0.5795519156787258,14.469082832336426,5750.0,,,,,,111.71454865995786,False
470646815565856128,65.61345043234765,57.78357818402807,0.19658980550668212,14.475886344909668,5799.8755,8706.339,29.6538,3.1019073,0.04309999942779541,2.129199981689453,301.31282025532823,False
470650698216308096,65.41795059471868,57.82496903302899,0.7422936812507791,14.641189575195312,6458.9414,1420.8401,2.4592,1.5286173,-0.3806000053882599,3.772700071334839,102.91255897607077,False
470651965224135552,65.43758227344736,57.90382156161399,1.1062108137281457,14.643108367919922,6596.0864,1030.7312,1.6656,1.2965251,-0.30480000376701355,4.066999912261963,317.8404967076623,False
470652278764213120,65.48483255180281,57.911029087868236,0.4669441637490095,14.713786125183105,5620.821,2441.2224,6.5896,2.0891523,-0.029999999329447746,3.0987000465393066,339.0718760592065,False
470697324382472320,65.33608348446893,57.89529045600605,0.24935787161545872,14.740785598754883,10904.548,3712.9905,2.9527,2.926531,-0.9926999807357788,3.863100051879883,380.0674979866137,False
470699145448593024,65.3950648286224,57.93285711379931,0.5602689029428287,14.774888038635254,6756.035,1663.7212,2.6212,1.6943749,-0.013799999840557575,3.8194000720977783,440.1674629920249,False
470698973649900032,65.42438013279315,57.92742936339333,0.36471204696533377,14.799578666687012,8732.522,4284.464,4.8966,2.3218026,-0.024700000882148743,3.497999906539917,406.19102072068915,False
470650595137067904,65.50235359473231,57.84232851890671,1.0489327017111922,14.802115440368652,5750.0,,,,,,110.13495375051497,False
470650011023469440,65.34096640631459,57.82957817702063,12.43817192505925,14.804750442504883,5500.0,,,,,,250.6105044759784,False
470647880717736064,65.55399595931004,57.82377934571563,0.2928988891701601,14.901208877563477,5500.0,,,,,,163.53179939571297,False
470646953004788352,65.66319108296554,57.80138352301657,0.281878810118648,14.928507804870605,5801.108,2598.982,6.511,2.4844947,-0.04729999974370003,3.1164000034332275,375.610223037672,False
470647021724502528,65.64975345867974,57.81518955106276,0.28370529261121213,14.939497947692871,5804.3413,5339.2227,14.5939,2.5725415,0.041200000792741776,2.5813000202178955,345.5116752408668,False
470649048948918656,65.30428541476515,57.77804655389441,0.25838299388641006,14.968052864074707,5959.0825,9113.683,21.4463,2.4817624,-0.12770000100135803,2.380000114440918,347.05756501814653,False
470634720937964288,65.65140909513762,57.74129776088159,0.7738022629648206,15.003195762634277,,,,,,,443.2002256045931,False
470650182820250752,65.31160621769921,57.834441390269994,0.22074408319109248,15.033929824829102,5860.8555,9033.362,23.1366,2.601975,0.01269999984651804,2.289299964904785,309.1783289599618,False
470646094011394304,65.56470512734413,57.72160114877395,0.1341454266714513,15.052876472473145,5380.8833,5882.517,16.9672,3.500042,0.07069999724626541,2.4823999404907227,389.5670164366555,False
470647876415074048,65.55620527402833,57.8261262619649,0.21264254998155807,15.14682388305664,5500.0,,,,,,169.12030603713305,False
470649976661813632,65.37857984657882,57.82089540751907,0.15393980805497606,15.155638694763184,11061.783,4457.1367,3.225,3.3816855,-0.210999995470047,3.882200002670288,175.03191144856712,False
470647296602204544,65.53275597046094,57.791361731833206,0.18224866776997606,15.161466598510742,4470.3057,8859.314,34.6098,3.4016323,-0.9264000058174133,1.4824999570846558,152.7095206295458,False
470648907207150080,65.38093911083135,57.78397744513312,0.3852868507179303,15.209423065185547,8113.6123,4632.5474,4.0603,1.9283425,0.0210999995470047,3.569999933242798,207.91009391801038,False
470647262242480256,65.50254818099452,57.77892282999049,0.8316275595128451,15.21473217010498,6943.6533,1417.8683,1.8966,1.4119596,-0.8801000118255615,3.92930006980896,151.57313786391867,False
470647811998241280,65.60476304864666,57.83403724963127,0.4379065392061601,15.243427276611328,,,,,,,266.10260637798916,False
470653721873226624,65.64959695365225,57.842581920015725,2.246510720055705,15.249427795410156,,,,,,,356.9084323949622,False
470653928031650304,65.6295572892551,57.863511375519735,0.6065357604393612,15.263142585754395,6453.4653,1444.7086,2.2321,1.5678796,-0.2387000024318695,3.861599922180176,348.9288853110325,False
470651969526573312,65.44601959140988,57.91373876702096,0.167086443175114,15.265901565551758,10228.925,7660.9243,5.2863,3.5245025,-0.27459999918937683,3.4997000694274902,350.4918121786079,False
470650698216301056,65.41825623275878,57.83741290982082,1.3390903638133567,15.277853965759277,,,,,,,122.42306044536225,False
470646849925606528,65.56358859855504,57.779366868750024,0.28072210278160886,15.297645568847656,5796.183,5838.04,11.9901,2.2823408,-0.065700002014637,2.744999885559082,225.94678778340452,False
470651385411013376,65.54899190871927,57.89013805306245,0.3118183786787114,15.348210334777832,7943.2446,2086.1326,1.8449,2.0840256,-1.0815999507904053,4.014200210571289,303.4595059763068,False
470650148460518016,65.28408293202267,57.83408294637137,0.4364779334679205,15.395777702331543,6899.42,3551.2847,4.2149,1.8187327,-1.5363999605178833,3.3380000591278076,360.80229368502745,False
470648842790474112,65.38998101828932,57.770171155590866,0.33546126874514276,15.401580810546875,9434.462,2452.3013,1.8883,2.2354214,-0.1923999935388565,4.181399822235107,228.01813352877488,False
470652381843412480,65.48863351201005,57.93956337301485,0.5192712783677425,15.409221649169922,4750.958,2108.733,4.9886,1.080994,0.3012999892234802,3.1677000522613525,442.04231796863843,False
470647296602212480,65.52817273803802,57.78029220417628,0.2517343137264987,15.420914649963379,8592.178,5223.319,3.9734,2.2237985,-0.039900001138448715,3.59879994392395,173.98471762731972,False
470651729008441472,65.39217904773199,57.86976773930692,0.5474056620317418,15.478219985961914,5351.518,1551.3638,2.8406,1.4809071,-0.30250000953674316,3.621500015258789,240.48300093253707,False
470647674559318784,65.54763429968514,57.80052075193999,0.3373776182610317,15.505943298339844,8881.987,3042.5317,2.4581,2.1529841,-0.1437000036239624,3.97160005569458,161.2393401680341,False
470634377340601600,65.59551412958477,57.72661019498922,0.22373275651730223,15.514615058898926,10920.231,3550.2065,2.0535,2.7170486,-0.24310000240802765,4.1946001052856445,405.91798828081477,False
470646437608759808,65.53793661163552,57.76500528101495,0.24189059226799633,15.55390739440918,5806.2886,9396.192,20.1024,2.353663,-0.007000000216066837,2.4184000492095947,229.1017246831611,False
470646742543625472,65.66214257788528,57.78440759281981,0.6248818484247305,15.558130264282227,,,,,,,387.7481852935951,False
470647708919044096,65.57463145468043,57.816095636713115,0.7947468304138459,15.564584732055664,6412.679,1499.2605,1.8752,1.2665018,-0.10899999737739563,3.988300085067749,201.42672153485404,False
470634755297717888,65.60494096158145,57.73274104468854,0.13825372289954851,15.614165306091309,,,,,,,399.9098486459919,False
470699008009648384,65.35195618173174,57.91311489004181,0.23426648960902016,15.623186111450195,5488.794,3120.22,5.6333,2.1413534,-0.006000000052154064,3.241499900817871,412.3111340152512,False
470651900807099904,65.46135634310491,57.90149635409337,0.20121868526701844,15.631093978881836,9447.466,3980.1597,2.6736,2.4576368,-0.9857000112533569,3.858599901199341,303.90829962562736,False
470697393098009344,65.27824133737623,57.8816291283268,-0.17041091538083553,15.634032249450684,,,,,,,433.82730767974357,False
470652003886312704,65.49315815367665,57.89238801186239,0.38743757600341755,15.639726638793945,7957.7266,5305.9443,4.2753,1.8339914,-0.039000000804662704,3.534600019454956,274.4415857193549,False
470634377340606848,65.58958721299311,57.718426850601254,0.15440800264213925,15.639886856079102,5531.005,4260.727,7.4485,2.592081,0.053700000047683716,3.0703999996185303,423.66381446239683,False
470649736143684864,65.24116662068461,57.80426052853158,0.38581762884020876,15.651456832885742,9248.75,2752.1477,2.0726,2.0768394,-0.48570001125335693,4.065800189971924,440.55856375853523,False
470648086876146304,65.58582999743984,57.843627216929875,11.315380209413517,15.679594039916992,3421.328,89.4044,0.297,,-0.3855000138282776,4.971099853515625,242.25225135887396,False
