source_id,right_ascension,declination,parallax,gaia_magnitude,effective_temperature,distance,radius,mass,metallicity,surface_gravity,sep_arcsec
237637418049102848,51.682885090003865,40.80754725405948,4.6537284554336225,9.1071195602417,7006.9893,223.4559,2.13,1.6024418,-0.5044000148773193,3.920799970626831,78.50136364800275
236138749340547968,51.54001102961437,40.74269341526743,6.710896188412169,9.942361831665039,5875.0815,146.7122,1.2691,1.0260289,-0.09279999881982803,4.284200191497803,417.7145529604494
237653395327441280,51.54942791078092,40.869796418860375,0.3595570030530433,11.468049049377441,4505.8467,1840.5885,19.6951,4.001658,-0.05260000005364418,2.094099998474121,348.83448776399825
237640407346341376,51.650762242219336,40.81666129052608,5.60065105537167,12.003169059753418,5074.339,177.8515,0.8411,0.8214673,0.1551000028848648,4.523399829864502,17.793529008880434
237642640729300224,51.743128919782066,40.91957547362305,0.9809665135016992,12.290063858032227,,,,,,,435.7710281986664
237641639999337472,51.56292751160058,40.872753092540286,0.22375491341777964,12.376529693603516,4730.1978,4455.395,43.3982,5.000258,0.17020000517368317,1.8702000379562378,324.92497980743
237636692197023360,51.60661320253607,40.72302215029406,1.6057882591897152,12.561108589172363,6516.1426,610.2482,1.4562,1.2899438,-0.3506999909877777,4.189000129699707,366.84004333530805
237640196890332160,51.638407000021154,40.77896022764115,1.2779966886301952,12.595352172851562,5887.515,834.4656,2.9894,1.4837255,-0.3416000008583069,3.631500005722046,147.7110521015559
237636451678855680,51.631922255752244,40.70471534600195,1.2737990321912567,12.625372886657715,5750.0,,,,,,411.63516627116877
237638517560709248,51.809197715753655,40.8459798382789,1.0519158113542744,12.634836196899414,6500.0,,,,,,426.549701746803
237638414481496448,51.81519205481613,40.836185713191874,0.5693669938835827,12.664828300476074,4250.0,,,,,,435.61045954642486
237641399481169536,51.59343887914451,40.86429551195381,6.4845983659254385,12.697458267211914,4500.0,,,,,,242.10694741029647
237638345762272000,51.784231122244705,40.81273201524318,1.30069682911066,12.738794326782227,4500.0,,,,,,346.4892266024265
236139608334003584,51.52502109839902,40.769615924630926,4.277864314598165,12.907231330871582,5138.6416,229.1378,0.7337,,-0.1527000069618225,4.5945000648498535,399.30446775189705
