source_id,ra,dec,parallax,phot_g_mean_mag,teff_gspphot,radius_gspphot,mass_flame,mh_gspphot,logg_gspphot,distance_gspphot
5664957345396217984,144.89320808812658,-20.979634433609387,1.0211099414256393,13.590019226074219,5934.09228515625,1.3952000141143799,1.0761831998825073,-0.15790000557899475,4.134300231933594,889.9514770507812
5664958410548106240,144.87392512368132,-20.94429468709919,0.4477466341934654,15.092799186706543,5355.423828125,1.4835000038146973,1.166125774383545,-0.815500020980835,4.154099941253662,1393.0009765625
5664957207957268096,144.8742024421833,-20.99697660998253,0.07641216978362668,16.096755981445312,,,,,,
5664957345396217216,144.90012426745787,-20.977115348865695,1.6923776019234629,16.192373275756836,4476.0126953125,0.7214999794960022,,0.18780000507831573,4.591800212860107,673.4298706054688
5664957482835467136,144.85584564268788,-20.986869937429724,1.0752448597227302,16.392908096313477,4453.3115234375,0.6690000295639038,,-0.007400000002235174,4.620200157165527,678.2177734375
5664957654633860864,144.88552746914937,-20.94916573769952,0.3269519426139981,16.458202362060547,5594.98193359375,0.8367999792098999,,-0.9628000259399414,4.485499858856201,1749.330078125
5664958406252783232,144.87667166184437,-20.950722332944697,0.7518822758762405,16.47028923034668,4995.2021484375,0.6320000290870667,0.8000101447105408,-0.48489999771118164,4.6743998527526855,1014.2578125
5664957134942425088,144.88158172015497,-21.014509389657082,0.5521525841661349,16.960847854614258,5312.21923828125,0.5906000137329102,0.8974156975746155,-1.0786000490188599,4.7210001945495605,1398.8472900390625
5664957482835175424,144.8499432313734,-20.976788227059814,0.6135344295922496,17.93211555480957,4617.52392578125,0.4618000090122223,0.747481644153595,-1.3605999946594238,4.819900035858154,1227.2431640625
5664958234454085120,144.8437802323389,-20.962251286536336,0.40273423362160937,18.177078247070312,5017.73974609375,0.5701000094413757,,-1.1461999416351318,4.6956000328063965,2055.763916015625
5664957547259311360,144.88548864959316,-20.97369805568604,1.5495183728364936,18.194299697875977,3612.05029296875,0.7476000189781189,0.5390627980232239,-0.5759000182151794,4.35860013961792,858.58447265625
5664958234454079616,144.83938901690624,-20.973130263655346,0.5631389039001113,18.212783813476562,4374.19580078125,0.6478999853134155,,0.07169999927282333,4.662300109863281,1530.9149169921875
5664956761280671616,144.8769864797933,-21.022038412744116,0.5334557409829651,18.269487380981445,4104.17333984375,0.42559999227523804,,-1.1168999671936035,4.8221001625061035,961.5452880859375
5664956825704783744,144.86898780378937,-21.00836032783781,0.3992362607991267,18.285404205322266,4461.078125,0.761900007724762,,-0.09600000083446503,4.540299892425537,2161.756103515625
5664958238748215936,144.84075685651848,-20.972833802883226,1.0022195561183207,18.327341079711914,3496.366943359375,0.3779999911785126,,-1.1983000040054321,4.471099853515625,531.4710083007812
5664958268813823232,144.85579849462343,-20.96221250345176,1.098347979022319,18.34521484375,3597.108154296875,0.34709998965263367,,-1.7302000522613525,4.354899883270264,556.4224853515625
5664957448474227328,144.87301443973075,-20.981307607631557,0.44825799680016,18.611906051635742,,,,,,
5664958268813826688,144.85131384350072,-20.956205497959647,0.30048462613729293,18.683822631835938,3430.370361328125,0.3882000148296356,,-0.12290000170469284,4.863800048828125,463.09228515625
5664957341100873472,144.89878013307506,-20.984466311434815,0.34197564641353134,18.75178337097168,4811.6484375,0.4814000129699707,,-1.4062000513076782,4.811100006103516,2075.715087890625
5664957650338540544,144.89006400514052,-20.94643282024607,0.3026594969627242,18.781856536865234,4148.97119140625,0.3073999881744385,,-1.582800030708313,5.000199794769287,928.0966186523438
5664957856496955648,144.83503598315755,-20.975601782020025,0.3629578500752933,18.821086883544922,5252.205078125,0.5231999754905701,,-2.50819993019104,4.781700134277344,2823.851806640625
5664957448475434752,144.87885683467664,-20.984819965165496,0.06181334153323068,18.828458786010742,5332.2890625,0.5386000275611877,,-1.7721999883651733,4.777299880981445,3061.684814453125
5664957547259308288,144.8919212830049,-20.977710348315178,0.06313299164422584,18.953651428222656,5003.31494140625,0.45649999380111694,,-2.0174999237060547,4.854000091552734,2366.505859375
5664957341100870016,144.89822866019676,-20.988294547308623,2.188746196305594,18.976594924926758,3238.64306640625,0.2531999945640564,,-1.0628999471664429,4.61870002746582,322.5567932128906
5664957444180793984,144.87075836010283,-20.98047944506654,1.107962553964339,19.123699188232422,,,,,,
5664957860792299520,144.83801873876894,-20.98195670431653,-0.13534794258142832,19.153186798095703,,,,,,
5664957448475216896,144.87304340535846,-20.983445935039143,1.9150652735341351,19.21579360961914,,,,,,
5664958234454080128,144.85261856144075,-20.970932968958017,1.3407288586409496,19.228708267211914,,,,,,
5664957650338537728,144.8950022767484,-20.952839015542054,0.7938848586637807,19.230026245117188,,,,,,
5664957238021650304,144.88278187365495,-20.995111525473927,0.7999000894003849,19.606979370117188,,,,,,
5664957620274125184,144.87079770674302,-20.95849771130526,-0.2921634729610907,19.61872673034668,,,,,,
5664958268813824512,144.85948673790477,-20.959203452704287,0.05362539448548509,19.66937255859375,,,,,,
5664957036158579200,144.85411977497958,-21.002272709077058,0.6882098387744585,19.729829788208008,,,,,,
5664957444180097024,144.8757508365238,-20.97574649500763,-0.20022443313987615,19.78624153137207,,,,,,
5664957482835467264,144.86062245825383,-20.985282996131506,1.218702742396505,19.869863510131836,,,,,,
5664958268813825280,144.8536253614024,-20.958573929288168,0.1010186328437456,19.89002227783203,,,,,,
5664957203661913216,144.8771950482215,-20.994098716585523,0.31793535142889146,19.94990348815918,,,,,,
5664957414115698048,144.87017313944438,-20.990724195590623,0.9828715105061472,20.142789840698242,,,,,,
5664956825704782976,144.8583892435108,-21.009808782641915,1.3790593571432763,20.214731216430664,,,,,,
5664958268814306560,144.85898104226234,-20.95648543400321,0.5854907240088082,20.225692749023438,,,,,,
5664957615979275648,144.88275878043046,-20.96362173536543,2.7760523034300126,20.274118423461914,,,,,,
5664957478539831168,144.85423370090308,-20.978477107826198,1.2915356958249715,20.30173683166504,,,,,,
5664957409820837504,144.86104154529295,-20.987309246626292,0.7021040409349749,20.38591194152832,,,,,,
5664958238748217344,144.83554771330924,-20.970612027052745,-0.6355842179623206,20.42766761779785,,,,,,
5664958273107949696,144.84557011211848,-20.961207325692683,0.6322904545223511,20.42976951599121,,,,,,
5664957375460619648,144.91408415810767,-20.972634952730747,0.9318635802657453,20.446643829345703,,,,,,
5664957581619053440,144.90180943443457,-20.966504114842362,0.6458203363574463,20.47040367126465,,,,,,
5664957448474224000,144.87664247206163,-20.974177604780376,0.9174977193013871,20.479473114013672,,,,,,
5664956829998948352,144.85901163633554,-21.014393347856565,-0.7473503462664539,20.54912757873535,,,,,,
5664957615979276416,144.87836577144478,-20.96030523329863,-0.18236752811352114,20.627607345581055,,,,,,
5664957276675530496,144.90156089887893,-20.990962943357374,,20.775222778320312,,,,,,
5664956761279469056,144.87775715372936,-21.02307366227514,0.7173991992718085,20.932605743408203,,,,,,
5664956761280073984,144.8818414210046,-21.017823876347563,,20.952436447143555,,,,,,
5664945422567352448,144.90553513389136,-21.00753120425275,,20.95334815979004,,,,,,
5664957001798293120,144.84839307888527,-21.01205688954159,,20.97909927368164,,,,,,
5664958273108612352,144.8446015106477,-20.962458971500517,,21.552820205688477,,,,,,
