source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,sep_arcsec
3761501026051101440,161.8260753283551,-9.373070556793959,3.7634279999523645,9.92760944366455,6522.055,262.0354,432.2617918286065
3761494459045399424,161.74363497254032,-9.440789906381541,0.18974210501613956,13.984865188598633,5714.3906,16480.447,198.24627947622096
3761495253615123840,161.6339337769937,-9.50690016023854,0.3215465703015954,14.017141342163086,5008.468,5241.254,467.54433677502357
3761498758308434560,161.68061186657434,-9.36815337850489,0.700822234137948,14.127297401428223,5725.4785,1619.2997,145.96289498533494
3761497933674720000,161.70926904359808,-9.385695073380838,1.2572926623776681,14.196582794189453,5838.4053,756.4411,48.52557588554644
3761492161238670336,161.68003745200343,-9.514108910163365,0.6998197912257679,14.367708206176758,5750.0,,425.41782252976304
3761497693156544512,161.73714750878935,-9.38933315602234,0.7720436193336502,14.692789077758789,5668.9966,1019.5299,111.77190013081629
3761495803370936832,161.66674479012636,-9.472294212089707,0.4699436764326966,14.802752494812012,5502.1494,1300.4546,300.4392004161963
3761505252298982400,161.7689370889981,-9.301307935483344,0.410267861330047,14.856470108032227,5655.3877,1646.1097,414.4486693219091
3761505252298982528,161.76865028394076,-9.302177499235366,0.4563497249367866,14.915650367736816,5613.512,1577.1903,411.2535222321428
3761511883728491008,161.61241222247304,-9.306274303305376,0.6930238427546543,14.976248741149902,5641.3657,1282.9496,474.3234876629044
3761499273704507776,161.75461619235236,-9.32456718109069,0.541563979550954,15.015365600585938,5694.799,1405.1794,316.47892120259263
3761504393305523968,161.77609487369494,-9.323303179605617,1.0876318914840004,15.064894676208496,5492.6973,741.2828,366.21288425511256
3761498345991580288,161.72617349044634,-9.370141323592623,0.9550336556800489,15.098548889160156,5519.3667,889.7483,123.81608749238956
3761511162173985024,161.6272011729008,-9.30622027328558,1.274251132569205,15.10369873046875,4654.716,732.1538,438.72323373707064
3761497280839686400,161.6040810993291,-9.39300212392964,0.32503916816118583,15.272051811218262,5375.344,2222.1428,367.0690323624065
3761511162173392896,161.62743715451984,-9.305866536075168,1.241482538085576,15.273399353027344,,,439.152258637381
3761517312567150592,161.71080479422682,-9.268793372339472,1.656616596204419,15.274051666259766,4855.5244,686.3648,469.0092633685355
3761499509927051136,161.71381507646538,-9.316662265407215,4.803797617398107,15.292240142822266,3834.4119,207.2063,297.4266803771535
3761494669499502848,161.76040506697723,-9.416671716319247,0.20199294782647143,15.32384204864502,5609.8184,1773.8859,199.18250553033886
3761496456205966464,161.57927338385505,-9.452347551420104,0.4283734726137396,15.486682891845703,5784.6157,1909.4481,493.3717959697187
3761495940809889920,161.69880025569157,-9.447114759650088,0.9149582438628177,15.65816593170166,5265.1675,1006.246,175.6997830748997
3761498311631834112,161.75684249461221,-9.36293057031581,0.9225650122785666,15.687494277954102,5182.5166,920.7255,218.8881588981113
3761511162173984896,161.63306756247653,-9.303715937138561,1.9490955019459717,15.82465934753418,4432.769,466.439,432.628870944269
3761498788372517376,161.6992962708519,-9.355638150626254,5.324152637302355,15.907966613769531,3468.3906,186.229,158.732822429274
3761494115448065664,161.84338550649343,-9.413694477157552,0.9402806525989619,15.947258949279785,4919.903,1062.1235,486.37035660464227
3761494635139764224,161.75096566930566,-9.425956646559477,1.046852778244183,16.01406478881836,4801.2207,960.476,183.03845868185292
3761492539195723648,161.73786658828286,-9.49975266510138,0.74335388199914,16.150644302368164,5410.2783,1049.6517,378.56223332776585
3761505355378196992,161.77222224122286,-9.2861168342414,0.9753506346128233,16.159107208251953,4745.281,802.4857,467.4269956282487
3761499475567305984,161.70102576323566,-9.325384519890784,2.7872089465704017,16.182601928710938,3908.939,340.9081,266.0316788742395
3761492264317885696,161.656973844101,-9.521574730663215,1.7959956554798857,16.20631217956543,4317.079,600.6136,475.92958976839753
3761511879432873600,161.61221899689775,-9.30345474938017,1.938009403160642,16.21299934387207,4339.503,632.5773,482.0043927830574
3761505217939245184,161.74871979378614,-9.305505073745605,3.6307269616374156,16.30839729309082,3627.5186,270.7026,367.49153642776434
3761497143400732672,161.65771853641402,-9.399802703025925,0.32081214301591954,16.41853141784668,5833.6025,1649.9368,175.94411653928105
3761498517790263808,161.76667419482447,-9.336913522244553,0.6778677297308894,16.434541702270508,5381.326,1289.9335,307.4915860783208
3761498479134874112,161.75584272358597,-9.352601688100362,2.4506150782438807,16.43984603881836,4107.3604,442.2771,240.25187556460062
