source_id,right_ascension,declination,parallax,gaia_magnitude,effective_temperature,distance,radius,mass,metallicity,surface_gravity,sep_arcsec
6790773586275235200,319.69959125951243,-26.6163823505749,6.136709092002067,8.243866920471191,6473.0,,2.4427905,1.595939,,,0.9948307558522307
6790769909784272768,319.6767897390783,-26.700880685159884,3.1253928696387625,11.238597869873047,5531.0,,1.7024027,1.0318141,,,313.7250305626218
6790771971368572928,319.8085280027268,-26.61994745909162,3.6654335550759285,11.445584297180176,6057.984,266.6628,1.0761,1.109706,-0.6430000066757202,4.281700134277344,351.24864655627835
6790776644293646080,319.7011838851452,-26.524735302882096,2.7732567405111634,11.673564910888672,6075.2627,345.8327,1.2557,1.1216857,-0.23479999601840973,4.225399971008301,329.0526578317097
6790773242678899712,319.6484942601147,-26.65585638334648,1.654218278649555,13.236993789672852,5661.321,568.2223,1.188,0.9410759,0.029500000178813934,4.252299785614014,217.64992842576453
6790770455243829504,319.71924010017705,-26.664323827382326,2.2571146318293356,13.511785507202148,5460.9653,413.9296,0.8152,0.9417404,-0.26840001344680786,4.502900123596191,184.8003366019028
6790774685787919744,319.655691864665,-26.581562551200324,0.568060175611813,13.602044105529785,,,,,,,188.00651018220998
6790775441702158592,319.7359777415413,-26.565913610115807,0.9588487320894045,13.809186935424805,5516.1377,1134.9985,1.93,1.0293932,-0.1525000035762787,3.8791000843048096,215.60139082254076
6790775785299540224,319.79786484554944,-26.538866616733166,0.8604452349198617,14.005757331848145,5423.777,1284.9366,2.3456,1.0425826,-0.4700999855995178,3.702399969100952,421.54870636105727
6790775235543815552,319.7422157288802,-26.581219189882177,0.9865706741950095,14.025235176086426,6097.7866,927.295,1.1846,1.1203653,-0.7391999959945679,4.198699951171875,186.3325829226284
6790775441702157696,319.7370885822373,-26.570288723277876,3.817671264211343,14.099949836730957,4515.296,257.8066,0.6856,0.7100434,0.5139999985694885,4.643199920654297,204.67155667506242
