source_id,ra,dec,parallax,phot_g_mean_mag,teff_gspphot,radius_gspphot,mass_flame,mh_gspphot,logg_gspphot,distance_gspphot
2275135921489977984,313.5643351236997,72.59147785335225,0.7197275266380694,13.070756912231445,4897.033203125,8.278800010681152,2.803199529647827,0.13539999723434448,2.890500068664551,1370.729248046875
2275136196367879424,313.4694741959145,72.61727939142959,1.2508554066686608,13.89936351776123,5472.48046875,2.0743000507354736,1.1509970426559448,-0.15209999680519104,4.029900074005127,768.903076171875
2275135852770502528,313.57844180417544,72.58475432799135,1.0015754112426611,14.591947555541992,,,,,,
2275082973133156992,313.61502065223556,72.55798551959442,0.8203367064085659,14.843816757202148,5465.44873046875,1.9711999893188477,1.1798175573349,-0.24410000443458557,4.05079984664917,1085.6177978515625
2275129874175878656,313.44067986548333,72.55749515814047,0.5375371769345099,15.241844177246094,5245.318359375,3.9189999103546143,1.4311209917068481,-0.1298999935388565,3.4374001026153564,2269.68896484375
2275130286492879872,313.432255665474,72.5970184389509,0.9250924308498528,15.904488563537598,5229.17724609375,1.1513999700546265,,-0.11580000072717667,4.342800140380859,979.332275390625
2275130149053779840,313.37308005584856,72.57860368603818,3.6089027475533557,15.976008415222168,3795.06201171875,0.5756999850273132,,0.002400000113993883,4.663300037384033,274.2315979003906
2275130252133143552,313.487302683481,72.60251564492309,0.7298990063389199,16.528303146362305,5099.9150390625,1.0221999883651733,,-0.5249000191688538,4.375199794769287,1175.2218017578125
2275082900116579200,313.51488171395323,72.54556809344724,0.2087306253522156,16.771577835083008,5346.52001953125,1.0369000434875488,0.8832319974899292,-1.8381999731063843,4.311200141906738,1811.1397705078125
2275088917367892608,313.59276284376733,72.57647628854554,0.709122407402474,16.833036422729492,4686.8984375,0.9810000061988831,,-1.2783000469207764,4.3028998374938965,1115.71875
2275136127648404736,313.5037985376726,72.61097991156782,0.1877480527638115,17.033349990844727,4945.76171875,2.112499952316284,0.9998992085456848,0.04690000042319298,3.7662999629974365,1805.409912109375
