source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,sep_arcsec
1827242816201846144,300.1821218062407,22.709741105168273,50.56684941372739,7.428370952606201,4897.251,19.7679,10.158476579354929
1827245702419983360,300.0488707988458,22.713001988583382,1.0011409925429202,9.468963623046875,4955.799,1012.5737,432.57354359949505
1827053047370989056,300.1777240267468,22.574800383493585,1.3172435518064938,9.563932418823242,4130.0,,484.9178905167155
1833246561971338240,300.2452654519047,22.685192305707808,1.0850520179355825,10.056657791137695,4346.0,,236.6018692328487
1827242850561599104,300.1591683052801,22.701767456942758,1.057670645622502,10.555388450622559,4647.079,1081.1595,71.72230529955489
1833251509799550208,300.2006226537299,22.803329368639634,2.387534818539578,10.63699722290039,6354.868,423.7882,345.2982800693086
1827242163366856576,300.0979990172324,22.650750480380683,4.46012765829447,10.69013500213623,6007.429,220.9669,342.41217089643334
1827242713122840064,300.1369529608463,22.686596581704652,1.1353744754182828,10.837428092956543,4545.0,,162.37333811794477
1827053803285232896,300.2120869610577,22.626689796519827,2.5624932592600285,11.06114673614502,6483.447,372.6824,317.6271091801601
1827242266446049920,300.13553532673234,22.670918689498688,0.3589517544024927,11.147966384887695,3424.9492,6834.035,200.49274547238176
1827054043803399168,300.2366928008901,22.658608963023585,0.9441543769801211,11.18625545501709,4411.0,,264.92183077218846
1827242644403170560,300.14176540304794,22.67788862467091,1.12946048608487,11.257158279418945,7997.0186,954.5565,168.22786170681348
1833252059555460480,300.1104955943903,22.80870713740129,2.087227715663158,11.420644760131836,5881.0,,423.5543890981209
1827240926416318720,300.04705648494934,22.652451476932363,0.665975873352807,11.463126182556152,4820.003,1259.9706,484.21269844513296
1827241132574638208,300.16817183796917,22.612929326325588,0.630859277328334,11.484275817871094,4553.0,,349.5147093451435
1827239517666939648,300.13722654379916,22.58970968516465,1.6141117156723195,11.539327621459961,7000.0,,453.0831457434484
1833249104617746304,300.2993271859248,22.79301131378758,1.9446163596605297,11.560441970825195,5753.0,,499.778836106138
1827243125439542912,300.1394089171212,22.73290771616359,2.645874888440747,11.769481658935547,6422.9634,384.8506,156.37604225605114
1833246596356853888,300.22737010391813,22.69580803401512,2.732662251109685,11.843721389770508,6051.0,,167.7896415329555
1827240582818881792,300.08446194368497,22.615144509675485,0.6116363150139097,11.845638275146484,4980.0825,1633.8888,462.77124268282455
1827053283555063040,300.18384445702867,22.587000448938294,1.1219383857935534,11.939172744750977,8000.0,,441.2615508716502
1827243121114533504,300.1384080777388,22.72817184041553,0.21908061283981384,11.996665954589844,,,150.8548300751995
1833247588477839872,300.28582480004997,22.783182352038207,0.19222672570286264,12.040677070617676,4250.0,,442.69652473367455
1833251578519046656,300.1929486605808,22.818097225282294,1.935982427463078,12.141924858093262,6171.3237,459.7695,393.6748456059323
1833247416678641152,300.2432148345174,22.74655938793182,2.192005454239463,12.147706031799316,5602.598,442.7725,251.3230464677958
1833059060913058304,300.3209530520673,22.67400262633067,0.4474286406264514,12.168017387390137,,,488.2407144327429
1827241884179091456,300.15448239090455,22.67081257858613,0.7414435366379185,12.186875343322754,4707.0293,1299.0989,161.4406410685517
1827245805499196672,300.05315611863506,22.717455035545665,1.4339975855148839,12.338696479797363,6244.1157,714.1772,419.1323943926777
1827246183456286720,300.1218499864493,22.76063862863661,0.22426634312366983,12.429102897644043,3755.8354,9605.508,264.57735808906466
1827242713122661504,300.1360985081793,22.69549395028936,0.23432243222962404,12.459757804870605,4521.5044,2950.4934,151.3643298223603
1827246110411770880,300.1433140853157,22.7497615933207,0.7677613014223896,12.463006019592285,7750.0,,187.38595673535744
1833059129632554240,300.31208439462154,22.691932246293508,0.5449103289758098,12.54354476928711,4553.0,,446.24272141613625
1833249890580309504,300.2671393057755,22.80823696325875,0.3380046798626747,12.551769256591797,4387.0,,460.25006315414254
1827242914970419712,300.11833936935994,22.702679943059874,0.583586094694537,12.558688163757324,4433.0,,203.1873070254752
1827246454009154048,300.10658026338854,22.781681014559584,1.942667649657572,12.559038162231445,6023.363,498.5034,354.20694126266443
1827053111756371328,300.211722001477,22.586309995477613,1.4580320471696528,12.588814735412598,4945.0,,456.535037121787
1833247588477839616,300.2826128775944,22.785812068362933,0.4012089556350726,12.626944541931152,4809.0264,1909.7008,440.05159536352403
1827240578493897472,300.07587202211164,22.618707911430747,0.9699808741541331,12.791093826293945,6229.5747,1132.8708,473.6632575568314
1827053562767026944,300.2420767238546,22.602976154127713,0.15408640603945026,12.871788024902344,3875.0,,436.86802339381245
1827242468279506560,300.07317694543116,22.67648579293013,0.5480119025812047,13.016695022583008,4725.0,,371.2498927558164
1833249826172285184,300.2738275869873,22.80237427183196,0.2508587620297534,13.036026000976562,4250.0,,459.07500565749785
1827243056720055936,300.1462823242368,22.7267846404414,0.9333856715691075,13.03988265991211,6868.744,1049.4298,125.42856670425306
1827242713122667008,300.1302470307837,22.695056869774156,0.14902549177679783,13.054831504821777,3645.3298,5249.2446,170.2858209490599
1833247077393165568,300.2702621487238,22.721397759040368,0.45849403018361584,13.105512619018555,4719.5347,2140.3914,305.82940408101354
1833059434551892992,300.30387361382725,22.716627912323126,0.38367444470631695,13.121234893798828,4657.52,2410.5151,415.2300493149493
1833251230609410688,300.1389720085164,22.79496840759389,0.7617448577837408,13.12682056427002,7337.5767,1318.8102,335.27464758710516
1827242816176111360,300.1790158599167,22.708365170697956,50.629105537293405,13.194602966308594,3109.0151,19.6826,4.068573544880251
1827245393182320896,300.04792064936294,22.679918230864132,0.8705830095049808,13.266839027404785,5975.7803,1012.2341,448.4208883812927
1833251264969149312,300.1168676010478,22.78921383131926,1.4763897619057926,13.272895812988281,5627.632,649.4979,353.5759195915434
