TIC,RAJ2000,DEJ2000,GAIA,Bmag,Vmag,Teff,logg,[M/H],Rad,Mass,LClass,Dist
335059081,267.96359781239,15.49671547447,4500954275413273856,16.376,15.674,5761.0,4.3554,,1.116,1.03,"DWARF",1464.13
334990897,267.76935388394,15.6066562714,4500958394283405952,15.784,15.167,5774.0,4.4738,,0.974,1.03,"DWARF",1093.91
335058854,267.87368976926,15.68791811156,4500960631964939264,16.14,15.359,5766.0,4.4171,,1.04,1.03,"DWARF",1225.68
335219820,268.29672878241,15.48069281455,4500961559677319296,16.543,15.824,5804.0,4.2708,,1.236,1.04,"DWARF",1735.23
335219840,268.27453024354,15.50275771404,4500961834555241728,15.302,14.582,5717.0,4.6904,,0.755,1.02,"DWARF",610.656
335219838,268.26254073008,15.50044905732,4500962487390272256,15.051,15.759,5766.0,3.856,,1.984,1.03,"DWARF",2869.42
335219855,268.24332653398,15.51076294847,4500962556109756416,14.918,14.201,5768.0,3.9396,,1.802,1.03,"DWARF",1219.3
335298165,268.37836839289,15.53483204442,4500963552542137600,16.638,15.968,5882.0,4.2263,,1.32,1.07,"DWARF",2067.52
335298141,268.3992992863,15.5530679917,4500963689981090944,16.204,15.379,5768.0,4.0504,,1.586,1.03,"DWARF",1845.52
335219907,268.34128387745,15.55313586442,4500963896139541376,16.319,15.789,5778.0,4.5733,,0.873,1.04,"DWARF",1117.57
335219909,268.31512585228,15.55420059,4500964274096669184,15.426,14.79,5856.0,4.6355,,0.82,1.06,"DWARF",779.8
335219935,268.31167258705,15.57146055519,4500964342812812672,16.587,15.727,5800.0,4.0778,,1.544,1.04,"DWARF",2140.8
335210305,268.18852062467,15.6029231037,4500967022875789056,16.148,15.503,5827.0,4.613,,0.838,1.05,"DWARF",1020.84
335219949,268.24306996706,15.58419874154,4500967503912776320,16.12,15.88,5896.0,4.4201,,1.056,1.07,"DWARF",1586.43
335298093,268.43023893046,15.59146203733,4500969806014525696,16.675,15.977,5768.0,4.3758,,1.09,1.03,"DWARF",1648.03
335298060,268.41570647745,15.62019488175,4500970115252186368,15.822,15.186,5895.0,4.2415,,1.297,1.07,"DWARF",1422.05
335219993,268.36292090024,15.6245829459,4500970768087228928,15.821,15.089,5764.0,4.1744,,1.375,1.03,"DWARF",1356.73
335297964,268.46737418296,15.70231075463,4500973001470219264,15.204,14.654,5732.0,4.504,,0.936,1.02,"DWARF",740.985
335297977,268.45242731034,15.69546126291,4500972962812247552,14.621,14.083,5855.0,4.5067,,0.951,1.06,"DWARF",633.167
335220110,268.30202068333,15.71978168187,4500975337932478848,15.02,15.429,5897.0,4.0706,,1.579,1.07,"DWARF",1926.98
335220166,268.30210561451,15.76546255769,4500976025127258240,16.189,15.562,5834.0,4.1916,,1.361,1.05,"DWARF",1762.18
335297871,268.42524374204,15.77719612337,4500976643602520320,14.771,14.09,5744.0,4.4997,,0.945,1.03,"DWARF",611.29
335297879,268.44749819323,15.77092194607,4500976815401203840,16.49,15.859,5793.0,3.9046,,1.885,1.04,"DWARF",2872.0
335297841,268.48922297622,15.80464064631,4500976987199895040,16.499,15.664,5802.0,4.3715,,1.101,1.04,"DWARF",1569.82
335116293,268.10983382058,15.65899090008,4500979461101113088,15.852,15.422,5890.0,4.0998,,1.527,1.07,"DWARF",1833.87
335210182,268.18398730225,15.69929800741,4500981213447762048,16.104,15.473,5845.0,4.2325,,1.298,1.05,"DWARF",1603.62
335210156,268.17486158704,15.72247523581,4500981522685416960,16.366,15.81,5817.0,4.2136,,1.327,1.05,"DWARF",1764.77
335116334,268.10554469867,15.68165497931,4500981694484116352,15.192,14.524,5885.0,4.0261,,1.662,1.07,"DWARF",1342.89
335210172,268.12499270293,15.71097356563,4500981900643115648,16.063,15.488,5810.0,4.3555,,1.122,1.04,"DWARF",1325.4
335116385,268.0842445805,15.7274572742,4500982072441263104,15.6,14.971,5720.0,4.481,,0.961,1.02,"DWARF",916.462
335116390,268.0107599137,15.73250999445,4500983824787951360,16.758,15.915,5827.0,4.1368,,1.45,1.05,"DWARF",2624.65
335058831,267.96462389043,15.71768009792,4500984065306603648,16.867,15.974,5807.0,4.2072,,1.33,1.04,"DWARF",2383.43
335116400,268.09390433835,15.73858775943,4500985130457978624,14.993,14.198,5759.0,4.2623,,1.243,1.03,"DWARF",848.141
335116444,268.0629054207,15.77714613932,4500985508415645056,14.744,14.052,5770.0,4.2044,,1.328,1.03,"DWARF",865.612
335121252,268.12655034866,15.79776729011,4500985783293022464,16.635,15.874,5771.0,4.1911,,1.349,1.03,"DWARF",2015.39
335121267,268.12555245017,15.78681107336,4500985748933279360,16.53,15.878,5782.0,4.4234,,1.037,1.04,"DWARF",1436.95
335116494,268.01860222071,15.8168012151,4500986607926791296,15.402,14.751,5798.0,4.1956,,1.348,1.04,"DWARF",1179.37
335116487,268.01950366234,15.81048712108,4500986573567050112,15.187,14.51,5727.0,4.1764,,1.365,1.02,"DWARF",1048.04
335116534,268.06667428088,15.84927516066,4500987054603386240,15.327,14.788,5865.0,3.9942,,1.716,1.06,"DWARF",1563.69
335220201,268.31793846873,15.79634083441,4500987913597104640,15.516,14.674,5807.0,4.1738,,1.383,1.04,"DWARF",1345.11
335220364,268.33555862354,15.91930613139,4500991452649827328,15.42,14.714,5736.0,4.0398,,1.597,1.02,"DWARF",1365.43
335121167,268.18244876226,15.87410829932,4500992449082277632,16.449,15.879,5727.0,4.3444,,1.125,1.02,"DWARF",1776.82
335121118,268.12882895512,15.91565590185,4500993617313419392,16.489,15.816,5873.0,4.2922,,1.218,1.06,"DWARF",1864.97
335121148,268.13615378374,15.89395288638,4500993514234192512,16.675,15.863,5706.0,4.1072,,1.478,1.02,"DWARF",2231.46
335121137,268.24001202386,15.90059464086,4500993892191278720,16.165,15.827,5807.0,4.2747,,1.231,1.04,"DWARF",1897.48
335121109,268.23243332211,15.92419481206,4500994270148413952,16.213,15.867,5893.0,4.2543,,1.278,1.07,"DWARF",2052.94
335121094,268.17337790437,15.93926415387,4500995163501639424,16.018,15.289,5762.0,4.413,,1.045,1.03,"DWARF",1229.85
44527400,267.53719159975,15.4328342314,4500996086915645056,16.647,15.81,5819.0,4.4988,,0.955,1.05,"DWARF",1392.06
44527408,267.5671566677,15.43791078494,4500996159933501696,15.842,15.03,5782.0,3.9026,,1.889,1.04,"DWARF",1978.72
44527460,267.52572384998,15.48125421151,4500997259445143296,15.918,15.995,5864.0,4.5574,,0.897,1.06,"DWARF",1625.34
44527497,267.55637755018,15.51138577516,4500997774841219328,,14.638,5709.0,4.1229,,1.452,1.02,"DWARF",1217.66
44527502,267.52904051601,15.51536062998,4500997946639916160,16.125,15.485,5877.0,4.2507,,1.277,1.06,"DWARF",1644.1
157220122,267.63769450513,15.52962806746,4500998393316501248,16.683,15.965,5772.0,4.3293,,1.15,1.03,"DWARF",1732.67
44527579,267.56395522053,15.56706790283,4500999664626839680,15.852,15.142,5853.0,4.0119,,1.682,1.06,"DWARF",1802.5
157220038,267.62983395057,15.60315928344,4501000248742630656,15.431,14.992,5892.0,3.9983,,1.716,1.07,"DWARF",1815.08
157220012,267.62741869482,15.62917447272,4501000351821852928,15.999,15.286,5898.0,4.0255,,1.663,1.07,"DWARF",1968.16
44457963,267.40077169628,15.56493594754,4501001898009855744,14.99,14.18,5761.0,4.246,,1.266,1.03,"DWARF",889.187
44527649,267.58080875218,15.61775008329,4501003203679897728,15.344,15.715,5827.0,4.1183,,1.481,1.05,"DWARF",1952.94
44527661,267.55304600856,15.62813642699,4501003409838332928,16.342,15.571,5857.0,4.3918,,1.086,1.06,"DWARF",1467.73
44527718,267.51782663608,15.66894079834,4501004509349971840,15.653,14.973,5709.0,4.1536,,1.401,1.02,"DWARF",1295.84
157220057,267.70616660078,15.58827318525,4501004887307293952,16.389,15.701,5742.0,4.4637,,0.985,1.03,"DWARF",1329.83
157219994,267.7404792815,15.64269368079,4501005707643286400,16.217,15.403,5714.0,4.3895,,1.068,1.02,"DWARF",3657.29
335053673,267.78788254664,15.65104410497,4501007051970809216,15.042,14.357,5760.0,3.9937,,1.693,1.03,"DWARF",1252.58
335053695,267.8295365257,15.67670650298,4501007155050649344,15.749,15.074,5893.0,4.3281,,1.174,1.07,"DWARF",1291.23
335053721,267.79725668639,15.69705981234,4501007464288288896,16.472,15.848,5865.0,3.4097,,3.364,1.06,"DWARF",4849.85
335053704,267.84168815333,15.68712025189,4501007533007786880,14.208,15.125,5827.0,4.1719,,1.392,1.05,"DWARF",1426.5
335053780,267.81762587242,15.75833140107,4501008838677887616,16.801,15.943,5754.0,4.543,,0.899,1.03,"DWARF",1452.35
335053784,267.77874140723,15.76223279616,4501009010476553856,14.998,14.282,5733.0,4.1801,,1.359,1.02,"DWARF",953.872
157219920,267.70005239985,15.70821377707,4501009903829123328,15.329,14.562,5713.0,4.2319,,1.281,1.02,"DWARF",1022.89
