source_id,ra,dec,parallax,phot_g_mean_mag,Teff,dist_pc,sep_arcsec,is_target
2033123654092592384,294.6614131372555,31.219199136856187,7.300113273881021,7.589815616607666,8848.703,136.8815,0.112198260056303,True
2033110837908993920,294.79082410061676,31.146965092599388,2.51403420971548,8.253012657165527,4633.0,,475.99446488499154,False
2033115442114430976,294.5408439157787,31.101707489498818,1.7539964129120829,9.020153999328613,4580.0,,562.9453581940645,False
2033126467260304128,294.49734751465843,31.245206265821622,0.38968955560118695,9.808722496032715,3733.2927,3490.5618,513.5741641965668,False
2033151416767902464,294.68757605834674,31.359917257891198,8.647313177807339,9.894137382507324,5718.58,115.1238,512.848304213446,False
2033134443051227904,294.8324313808488,31.17922676019564,1.7370532951246678,10.119145393371582,9374.599,548.4968,546.0043482806628,False
2033122726379618176,294.67083788871696,31.179938192392843,3.926382255115349,10.179093360900879,6477.858,254.1641,144.39656712142954,False
2033151004451026944,294.6945551811943,31.324840343350587,2.7864919379424733,10.641759872436523,6230.4844,358.7835,393.65945113396907,False
2033124577474702336,294.5322568263074,31.157137373048656,0.38324684173722295,10.67177963256836,3780.0,,456.22025362566336,False
2033122795099056512,294.71167353254873,31.189845617657433,0.2910872315122706,10.679502487182617,3769.0,,187.49444488707417,False
2033173574461603712,294.4840866377494,31.287041822151643,0.6157876572479851,10.923744201660156,4714.1123,1886.8185,597.8080105897244,False
2033148491852639872,294.77607437425536,31.347513588413282,0.789066129555695,10.940200805664062,4647.0,,581.17808871727,False
2033120527356392704,294.59212525546656,31.093510337315365,0.332349555196481,11.1793794631958,4720.825,436.5035,500.3708842799951,False
2033124135128884096,294.72021798579686,31.250636924994776,2.700438219186658,11.184003829956055,6355.385,368.8542,213.47028655291052,False
2033126196713378816,294.52523748110576,31.222412606960088,0.3905762101329394,11.237671852111816,4333.0,,419.34134343910296,False
2033151171912180224,294.7215904362776,31.356855057208016,0.36716038911663923,11.32980728149414,3984.0,,528.9368089805596,False
2033147465393120896,294.8094178894929,31.30805702350203,1.342266583011555,11.350414276123047,6464.933,717.0538,556.5439475952235,False
2033109463519441408,294.76523283306943,31.08190747807122,1.0479800799466485,11.397401809692383,9142.136,915.0943,588.8333969435417,False
2033125509518569088,294.57105900662333,31.227498221755443,0.1965408136764949,11.411870002746582,3763.0,,279.69885369546546,False
2033120596075847680,294.61807807028447,31.10642167716217,0.29220765586236763,11.48923110961914,4250.0,,427.4620378680637,False
2033122034854060416,294.63030483788657,31.184944397732092,0.2318770680679434,11.492530822753906,3471.0955,3609.3071,156.1982723142319,False
2033110425592136960,294.775127158415,31.124622678513642,2.1247133463342913,11.496509552001953,6503.2134,452.9537,488.5819470535775,False
