##############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , EffectiveArea 
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on datasheets
# CCD QE based on datasheets
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1 
                *R_d2 * R_visgr * vis_geff * vis_detQE
# Generated on: 2026-02-19
##############################################################################
Wavelength	Reflectivity	Dichroic1_Eff	Dichroic2_Eff	GratingEff	CCD_QE	EffectiveArea_cm2
4572.2833	0.9284	0.8000	0.8000	0.5171	0.8565	185.5043
4573.1868	0.9284	0.8000	0.8000	0.5175	0.8567	185.6699
4574.0904	0.9284	0.8000	0.8000	0.5178	0.8569	185.8377
4574.9939	0.9284	0.8000	0.8000	0.5182	0.8571	186.0056
4575.8974	0.9284	0.8000	0.8000	0.5185	0.8573	186.1709
4576.8010	0.9284	0.8000	0.8000	0.5189	0.8574	186.3361
4577.7045	0.9284	0.8000	0.8000	0.5192	0.8576	186.5036
4578.6081	0.9284	0.8000	0.8000	0.5196	0.8578	186.6717
4579.5116	0.9284	0.8000	0.8000	0.5200	0.8580	186.8383
4580.4151	0.9284	0.8000	0.8000	0.5203	0.8582	187.0038
4581.3187	0.9284	0.8000	0.8000	0.5207	0.8583	187.1703
4582.2222	0.9284	0.8000	0.8000	0.5210	0.8585	187.3386
4583.1258	0.9284	0.8000	0.8000	0.5214	0.8587	187.5065
4584.0293	0.9284	0.8000	0.8000	0.5218	0.8589	187.6722
4584.9328	0.9284	0.8000	0.8000	0.5221	0.8591	187.8380
4585.8364	0.9284	0.8000	0.8000	0.5225	0.8593	188.0037
4586.7399	0.9284	0.8000	0.8000	0.5228	0.8594	188.1696
4587.6435	0.9284	0.8000	0.8000	0.5232	0.8596	188.3374
4588.5470	0.9284	0.8000	0.8000	0.5235	0.8598	188.5061
4589.4505	0.9284	0.8000	0.8000	0.5239	0.8600	188.6734
4590.3541	0.9284	0.8000	0.8000	0.5243	0.8602	188.8395
4591.2576	0.9283	0.8000	0.8000	0.5246	0.8603	189.0055
4592.1612	0.9283	0.8000	0.8000	0.5250	0.8605	189.1717
4593.0647	0.9283	0.8000	0.8000	0.5253	0.8607	189.3380
4593.9683	0.9283	0.8000	0.8000	0.5257	0.8609	189.5070
4594.8718	0.9283	0.8000	0.8000	0.5261	0.8611	189.6761
4595.7753	0.9283	0.8000	0.8000	0.5264	0.8612	189.8428
4596.6789	0.9283	0.8000	0.8000	0.5268	0.8614	190.0092
4597.5824	0.9283	0.8000	0.8000	0.5271	0.8616	190.1756
4598.4860	0.9283	0.8000	0.8000	0.5275	0.8618	190.3421
4599.3895	0.9283	0.8000	0.8000	0.5278	0.8620	190.5086
