###############################################################
#Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , Throughput, EffectiveArea [cm2]
# Pixel scale: 0.417684
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on CUTE
# CCD QE based on datasheet and CUTE
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1
                *R_uvgr * Uv_geff *R_fold2 * Uv_detQE
# Generated on: 2026-02-19
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	GratingEff	CCD_QE	Throughput	EffectiveArea_cm2
2429.9971	0.9258	0.8000	0.6400	0.6050	0.1791	172.2931
2430.4148	0.9258	0.8000	0.6400	0.6050	0.1791	172.2950
2430.8324	0.9258	0.8000	0.6400	0.6050	0.1791	172.2970
2431.2501	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2431.6678	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2432.0855	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2432.5032	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2432.9209	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2433.3385	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2433.7562	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2434.1739	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2434.5916	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2435.0093	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2435.4270	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2435.8447	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2436.2623	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2436.6800	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2437.0977	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2437.5154	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2437.9331	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2438.3508	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2438.7684	0.9258	0.8000	0.6400	0.6050	0.1791	172.2977
2439.1861	0.9258	0.8000	0.6400	0.6050	0.1791	172.2986
2439.6038	0.9258	0.8000	0.6400	0.6050	0.1791	172.3005
2440.0215	0.9258	0.8000	0.6400	0.6050	0.1791	172.3025
2440.4392	0.9258	0.8000	0.6400	0.6050	0.1791	172.3044
2440.8569	0.9258	0.8000	0.6400	0.6050	0.1791	172.3064
2441.2745	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2441.6922	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2442.1099	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2442.5276	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2442.9453	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2443.3630	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2443.7807	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2444.1983	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2444.6160	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2445.0337	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2445.4514	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2445.8691	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2446.2868	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2446.7044	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2447.1221	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2447.5398	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2447.9575	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2448.3752	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2448.7929	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2449.2106	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2449.6282	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2450.0459	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2450.4636	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2450.8813	0.9258	0.8000	0.6400	0.6050	0.1791	172.3070
2451.2990	0.9258	0.8000	0.6400	0.6050	0.1791	172.3084
2451.7167	0.9258	0.8000	0.6400	0.6050	0.1791	172.3104
2452.1343	0.9258	0.8000	0.6400	0.6050	0.1791	172.3123
2452.5520	0.9258	0.8000	0.6400	0.6050	0.1791	172.3143
2452.9697	0.9258	0.8000	0.6400	0.6050	0.1791	172.3162
2453.3874	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2453.8051	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2454.2228	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2454.6404	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2455.0581	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2455.4758	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2455.8935	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2456.3112	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2456.7289	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2457.1466	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2457.5642	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2457.9819	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2458.3996	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2458.8173	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2459.2350	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2459.6527	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2460.0703	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2460.4880	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2460.9057	0.9258	0.8000	0.6400	0.6050	0.1791	172.3163
2461.3234	0.9258	0.8000	0.6400	0.6050	0.1791	172.3179
2461.7411	0.9258	0.8000	0.6400	0.6050	0.1791	172.3198
2462.1588	0.9258	0.8000	0.6400	0.6050	0.1791	172.3217
2462.5765	0.9258	0.8000	0.6400	0.6050	0.1791	172.3237
2462.9941	0.9258	0.8000	0.6400	0.6050	0.1791	172.3256
2463.4118	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2463.8295	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2464.2472	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2464.6649	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2465.0826	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2465.5002	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2465.9179	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2466.3356	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2466.7533	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2467.1710	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2467.5887	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2468.0064	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2468.4240	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2468.8417	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2469.2594	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2469.6771	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2470.0948	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2470.5125	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2470.9301	0.9258	0.8000	0.6400	0.6050	0.1791	172.3257
2471.3478	0.9258	0.8000	0.6400	0.6050	0.1791	172.3273
2471.7655	0.9258	0.8000	0.6400	0.6050	0.1791	172.3292
2472.1832	0.9258	0.8000	0.6400	0.6050	0.1791	172.3312
2472.6009	0.9258	0.8000	0.6400	0.6050	0.1791	172.3331
2473.0186	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2473.4362	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2473.8539	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2474.2716	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2474.6893	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2475.1070	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2475.5247	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2475.9424	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2476.3600	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2476.7777	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2477.1954	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2477.6131	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2478.0308	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2478.4485	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2478.8661	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2479.2838	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2479.7015	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2480.1192	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2480.5369	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2480.9546	0.9258	0.8000	0.6400	0.6050	0.1791	172.3350
2481.3723	0.9259	0.8000	0.6400	0.6050	0.1791	172.3367
2481.7899	0.9259	0.8000	0.6400	0.6050	0.1791	172.3386
2482.2076	0.9259	0.8000	0.6400	0.6050	0.1791	172.3406
2482.6253	0.9259	0.8000	0.6400	0.6050	0.1791	172.3425
2483.0430	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2483.4607	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2483.8784	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2484.2960	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2484.7137	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2485.1314	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2485.5491	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2485.9668	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2486.3845	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2486.8021	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2487.2198	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2487.6375	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2488.0552	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2488.4729	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2488.8906	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
2489.3083	0.9259	0.8000	0.6400	0.6050	0.1791	172.3443
