TIC,RAJ2000,DEJ2000,GAIA,Bmag,Vmag,Teff,logg,[M/H],Rad,Mass,LClass,Dist
1806296873,286.87699687726,16.75571959437,4513162737179265024,,19.939,5850.0,4.9582,,0.566,1.06,"DWARF",3174.09
1806296696,286.88764459233,16.73767235387,4513162668458076672,,19.649,5768.0,4.3788,,1.087,1.03,"DWARF",4550.1
1806296689,286.88649302076,16.7382216294,4513162664113490176,,19.379,5736.0,4.197,,1.333,1.02,"DWARF",4819.53
1806296737,286.88742391682,16.74469217839,4513162668459769984,,18.808,5716.0,4.1727,,1.371,1.02,"DWARF",3939.7
394539174,286.91371281077,16.76427686858,4513162801552532096,,18.384,5829.0,3.8453,,2.027,1.05,"DWARF",4956.37
1806296916,286.8939484322,16.75039318583,4513162771537355008,,19.633,5840.0,4.2142,,1.326,1.05,"DWARF",5366.06
1806296947,286.89656750294,16.74768139762,4513162771543913856,,19.058,5808.0,3.9587,,1.771,1.04,"DWARF",5399.44
1806297008,286.8959989324,16.76298953547,4513162835912264192,,19.65,5875.0,4.3554,,1.132,1.06,"DWARF",5041.55
394539236,286.88497083132,16.77427526072,4513163076430472064,,18.319,5882.0,,,,,,4643.01
1806297382,286.87761104665,16.7694718136,4513163046415506432,,19.957,5715.0,,,,,"DWARF",2589.24
